Trigram,poisson_stirling
"('suç', 'tarih', 'dosya')",12396.228587288955
"('adliye', 'mahkeme', 'karar')",12159.275311440575
"('tarih', 'yürürlük', 'giren')",12094.950071874024
"('dosya', 'incelen', 'konuşulup')",12011.883797448892
"('5237', 'tck', 'madde')",11361.114307895192
"('onanma', 'tarih', 'birlik')",11187.301329657355
"('incelen', 'görüşülüp', 'düşünül')",11007.715178731672
"('adliye', 'mahkeme', 'ceza')",11002.591232756462
"('mahkeme', 'ceza', 'daire')",10940.685681567182
"('karar', 'nitelik', 'suç')",10863.796996396304
"('türk', 'millet', 'ad')",10841.263938664628
"('istinaf', 'başvuru', 'esas')",10667.324237027808
"('bölge', 'adliye', 'mahkemesi')",10604.569243983859
"('karar', 'veril', 'taraf')",10575.094727474692
"('dava', 'dosya', 'tetkik')",10574.706103108821
"('indiril', 'şeklindeki', 'düzenleme')",10532.450674073225
"('görülen', 'dava', 'sonuç')",10382.404276009112
"('madde', 'yürürlük', 'bulunan')",10353.874318504948
"('sürülen', 'iddia', 'savunma')",10345.98616618552
"('temyiz', 'edilmek', 'dosya')",10280.676580144405
"('aşama', 'sürülen', 'iddia')",10156.799935116676
"('görüşül', 'temyiz', 'istek')",10080.826970150121
"('uygulanma', 'gereken', '1412')",10069.2585277104
"('tarih', 'dosya', 'görüşül')",9835.450594934091
"('kan', 'çelişmeyen', 'veri')",9794.445088280605
"('değerlendirilme', 'zorunluluk', 'bulunma')",9757.827899406431
"('biçim', 'eksiksiz', 'sergilendik')",9707.108698945358
"('gönderilme', 'tarih', 'birlik')",9693.065987021686
"('dinlendik', 'dosya', 'incelen')",9626.033669789165
"('aşama', 'başlayarak', 'sürdürülüp')",9559.098599962625
"('mahkumiyet', 'mahalli', 'mahkeme')",9544.460532308965
"('sürüklenen', 'çocuk', 'hak')",9534.662158869362
"('evrak', 'okunarak', 'görüşülüp')",9517.84055716854
"('5320', 'yasa', 'madde')",9342.391505536916
"('vicdani', 'kan', 'çelişmeyen')",9280.777889822435
"('edilmek', 'evrak', 'okunarak')",9232.855077151638
"('dosya', 'incelen', 'görüşülüp')",9165.53323689341
